"","State","City","County","Coastal","Region","Census_2010","Census_Estimates_Base","e2010","e2011","e2012","e2013","e2014","e2015","e2016","e2017","e2018","e2019","Urbanized_Cluster","Urbanized_Area"
"1","California","Alameda","Alameda County",TRUE,"Pacific","73,812","73,812","73,946","74,692","75,637","76,479","77,509","78,459","79,091","79,037","78,344","77,624",TRUE,TRUE
"2","California","Alhambra","Los Angeles County",TRUE,"Pacific","83,089","83,119","83,160","83,594","84,120","84,337","84,786","84,843","85,221","84,878","84,373","83,750",TRUE,TRUE
"3","California","Aliso Viejo","Orange County",TRUE,"Pacific","47,823","47,674","47,801","48,474","49,038","49,538","49,542","49,499","50,858","50,982","51,206","50,887",TRUE,TRUE
"4","California","Anaheim","Orange County",TRUE,"Pacific","336,265","336,109","336,760","339,831","342,071","343,832","344,604","348,251","350,013","350,476","350,698","350,365",TRUE,TRUE
"5","California","Antioch","Contra Costa County",TRUE,"Pacific","102,372","102,745","103,080","104,193","105,565","107,351","109,071","110,308","111,088","111,494","111,578","111,502",TRUE,TRUE
"6","California","Arcadia","Los Angeles County",TRUE,"Pacific","56,364","56,303","56,322","56,594","56,801","57,215","57,513","57,835","58,238","58,374","58,385","57,939",TRUE,TRUE
"7","Illinois","Arlington Heights","Cook County",TRUE,"Great Lakes","75,101","75,185","75,252","75,528","75,918","76,116","76,145","75,987","75,795","75,473","75,116","74,760",TRUE,TRUE
"8","Washington","Auburn","King County",TRUE,"Pacific","70,180","70,301","70,560","71,748","73,474","74,924","76,198","77,479","78,725","81,333","81,789","81,464",TRUE,TRUE
"9","California","Baldwin Park","Los Angeles County",TRUE,"Pacific","75,390","75,397","75,421","75,750","76,183","76,364","76,375","76,427","76,219","75,948","75,572","75,251",TRUE,TRUE
"10","Maryland","Baltimore","Baltimore County",TRUE,"Atlantic","620,961","620,770","620,915","620,410","622,895","622,391","623,587","622,522","616,226","610,481","602,443","593,490",TRUE,TRUE
"11","New Jersey","Bayonne","Hudson County",TRUE,"Atlantic","63,024","63,015","63,050","63,945","64,252","64,736","65,369","65,290","65,315","65,333","64,677","64,897",TRUE,TRUE
"12","Texas","Baytown","Harris County, Chambers County",TRUE,"Gulf of Mexico","71,802","71,605","71,757","72,500","73,311","75,334","75,926","76,286","76,369","76,693","76,592","77,192",TRUE,TRUE
"13","Texas","Beaumont","Jefferson County",TRUE,"Gulf of Mexico","118,296","117,278","117,378","117,908","117,033","118,068","117,812","118,603","118,734","118,953","117,667","116,825",TRUE,TRUE
"14","Washington","Bellevue","King County",TRUE,"Pacific","122,363","127,885","128,357","130,196","132,074","133,688","136,275","139,757","141,758","145,273","147,064","148,164",TRUE,TRUE
"15","California","Bellflower","Los Angeles County",TRUE,"Pacific","76,616","76,625","76,624","76,939","77,202","77,404","77,532","77,794","77,581","77,326","76,906","76,435",TRUE,TRUE
"16","Washington","Bellingham","Whatcom County",TRUE,"Pacific","80,885","81,205","81,297","81,859","82,299","82,593","83,386","84,998","86,954","89,031","90,464","92,314",TRUE,TRUE
"17","California","Berkeley","Alameda County",TRUE,"Pacific","112,580","112,513","112,889","113,968","115,309","116,944","118,697","120,749","121,547","122,164","121,663","121,363",TRUE,TRUE
"18","Illinois","Berwyn","Cook County",TRUE,"Great Lakes","56,657","56,653","56,671","56,791","56,886","56,914","56,777","56,436","55,986","55,435","54,821","54,391",TRUE,TRUE
"19","Florida","Boca Raton","Palm Beach County",TRUE,"Atlantic","84,392","84,409","85,158","86,460","87,646","89,689","91,276","93,498","96,427","98,236","99,351","99,805",TRUE,TRUE
"20","Florida","Bonita Springs","Lee County",TRUE,"Gulf of Mexico","43,914","43,930","44,075","45,039","46,342","47,664","49,367","51,850","54,400","56,175","57,398","59,637",TRUE,TRUE
"21","Massachusetts","Boston","Suffolk County",TRUE,"Atlantic","617,594","617,792","621,048","630,505","642,955","653,002","662,855","670,491","679,848","687,788","691,147","692,600",TRUE,TRUE
"22","Florida","Boynton Beach","Palm Beach County",TRUE,"Atlantic","68,217","68,293","68,411","68,905","70,049","71,305","73,155","74,005","75,877","77,711","77,949","78,679",TRUE,TRUE
