State,City,County
New York,New York,"New York County, Kings County, Bronx County, Richmond County, Queens County"
California,Los Angeles,Los Angeles County
Illinois,Chicago,Cook County
Texas,Houston,Harris County
Arizona,Phoenix,Maricopa County
Pennsylvania,Philadelphia,Philidelphia County
Texas,San Antonio,Bexar County
California,San Diego,San Diego County
Texas,Dallas,"Dallas County, Collin County, Denton County, Kaufman County, Rockwall County"
California,San Jose,Santa Clara County
Texas,Austin,Travis County
Florida,Jacksonville,Duval County
Texas,Fort Worth,Tarrant County
Ohio,Columbus,Bartholomew County
California,San Francisco,San Francisco County
North Carolina,Charlotte,Mecklenburg County
Indiana,Indianapolis,Marion County
Washington,Seattle,King County
Colorado,Denver,Denver County
District of Columbia,Washington,N/A
Massachusetts,Boston,Suffolk County
Texas,El Paso,El Paso County
Michigan,Detroit,Wayne County
Tennessee,Nashville,Davidson County
Oregon,Portland,Multnomah County
Tennessee,Memphis,Shelby County
Oklahoma,Oklahoma City,"Oklahoma County, Canadian County, Cleveland County, Pottawatomie County"
Nevada,Las Vegas,Clark County
Kentucky,Louisville,Jefferson County
Maryland,Baltimore,Baltimore County
Wisconsin,Milwaukee,Milwaukee County
New Mexico,Albuquerque,Bernalillo County
Arizona,Tucson,Pima County
California,Fresno,Fresno County
Arizona,Mesa,Maricopa County
California,Sacramento,Sacramento County
Georgia,Atlanta,Fulton County
Missouri,Kansas City,"Jackson County, Clay County, Platte County, Cass County"
Colorado,Colorado Springs,El Paso County
Florida,Miami,Miami-Dade County
North Carolina,Raleigh,Wake County
Nebraska,Omaha,Douglas County
California,Long Beach,Los Angeles County
Virginia,Virginia Beach,Virginia Beach city
California,Oakland,Alameda County
Minnesota,Minneapolis,Hennepin County
Oklahoma,Tulsa,"Osage County, Rogers County, Tulsa County, Wagoner County"
Texas,Arlington,Tarrant County
Florida,Tampa,Hillsborough County
Louisiana,New Orleans,Orleans Parish
Kansas,Wichita,Sedgwick County
Ohio,Cleveland,Cuyahoga County
California,Bakersfield,Kern County
Colorado,Aurora,Arapahoe County
California,Anaheim,Orange County
Hawaii,Honolulu,Honolulu County
California,Santa Ana,Orange County
California,Riverside,Riverside County
Texas,Corpus Christi,Nueces County
Kentucky,Lexington,Fayette County
California,Stockton,San Joaquin County
Nevada,Henderson,Clark County
Minnesota,St. Paul,Ramsey County
Missouri,St. Louis,N/A
Ohio,Cincinnati,Hamilton County
Pennsylvania,Pittsburgh,Allegheny County
North Carolina,Greensboro,Guilford County
Alaska,Anchorage,Anchorage Borough
Texas,Plano,Collin County
Nebraska,Lincoln,Lancaster County
Florida,Orlando,Orange County
California,Irvine,Orange County
New Jersey,Newark,Essex County
Ohio,Toledo,Lucas County
North Carolina,Durham,Durham County
California,Chula Vista,San Diego County
Indiana,Fort Wayne,Allen County
New Jersey,Jersey City,Hudson County
Florida,St. Petersburg,Pinellas County
Texas,Laredo,Webb County
Wisconsin,Madison,Dane County
Arizona,Chandler,Maricopa County
New York,Buffalo,Erie County
Texas,Lubbock,Lubbock County
Arizona,Scottsdale,Maricopa County
Nevada,Reno,Washoe County
Arizona,Glendale,Maricopa County
Arizona,Gilbert,Maricopa County
North Carolina,Winston-Salem,Forsyth County
Nevada,North Las Vegas,Clark County
Virginia,Norfolk,Norfolk city
Virginia,Chesapeake,Norfolk County
Texas,Garland,Dallas County
Texas,Irving,Dallas County
Florida,Hialeah,Miami-Dade County
California,Fremont,Alameda County
Idaho,Boise,Ada County
Virginia,Richmond,Henrico county
Louisiana,Baton Rouge,East Baton Rouge Parish
Washington,Spokane,Spokane County
Iowa,Des Moines,"Polk County, Warren County"
Washington,Tacoma,Pierce County
California,San Bernardino,San Bernardino County
California,Modesto,Stanislaus County
California,Fontana,San Bernardino County
California,Santa Clarita,Los Angeles County
Alabama,Birmingham,Jefferson County
California,Oxnard,Ventura County
North Carolina,Fayetteville,Cumberland County
California,Moreno Valley,Riverside County
New York,Rochester,Monroe County
California,Glendale,Los Angeles County
California,Huntington Beach,Orange County
Utah,Salt Lake City,Salt Lake County
Michigan,Grand Rapids,Kent County
Texas,Amarillo,Potter County
New York,Yonkers,Westchester County
Illinois,Aurora,DuPage County
Alabama,Montgomery,Montgomery County
Ohio,Akron,Summit County
Arkansas,Little Rock,Pulaski County
Alabama,Huntsville,Madison County
Georgia,Augusta,Richmond County
Florida,Port St. Lucie,St. Lucie County
Texas,Grand Prairie,"Dallas County, Tarrant County, Ellis County"
Georgia,Columbus,Muscogee County
Florida,Tallahassee,Leon County
Kansas,Overland Park,Johnson County
Arizona,Tempe,Maricopa County
Texas,McKinney,Collin County
Alabama,Mobile,Mobile County
Florida,Cape Coral,Lee County
Louisiana,Shreveport,Caddo Parish
Texas,Frisco,"Collin County, Denton County"
Tennessee,Knoxville,Knox County
Massachusetts,Worcester,Worcester County
Texas,Brownsville,Cameron County
Washington,Vancouver,Clark County
Florida,Fort Lauderdale,Broward County
South Dakota,Sioux Falls,Minnehaha County
California,Ontario,San Bernardino County
Tennessee,Chattanooga,Hamilton County
Rhode Island,Providence,Providence County
Virginia,Newport News,Newport News city
California,Rancho Cucamonga,San Bernardino County
California,Santa Rosa,Sonoma County
California,Oceanside,San Diego County
Oregon,Salem,Marion County
California,Elk Grove,Sacramento County
California,Garden Grove,Orange County
Florida,Pembroke Pines,Broward County
Arizona,Peoria,"Maricopa County, Yavapai County"
Oregon,Eugene,Lane County
California,Corona,Riverside County
North Carolina,Cary,"Wake County, Chatham County"
Missouri,Springfield,Greene County
Colorado,Fort Collins,Larimer County
Mississippi,Jackson,Hinds County
Virginia,Alexandria,Alexandria City
California,Hayward,Alameda County
California,Lancaster,Los Angeles County
Colorado,Lakewood,Jefferson County
Tennessee,Clarksville,Montgomery County
California,Palmdale,Los Angeles County
California,Salinas,Monterey County
Massachusetts,Springfield,Hampden County
Florida,Hollywood,Broward County
Texas,Pasadena,Harris County
California,Sunnyvale,Santa Clara County
Georgia,Macon,Bibb County
Kansas,Kansas City,Wyandotte County
California,Pomona,Los Angeles County
California,Escondido,San Diego County
Texas,Killeen,Bell County
Illinois,Naperville,Dupage County
Illinois,Joliet,Will County
Washington,Bellevue,King County
Illinois,Rockford,Winnebago County
Georgia,Savannah,Chatham County
New Jersey,Paterson,Passaic County
California,Torrance,Los Angeles County
Connecticut,Bridgeport,Fairfield County
Texas,McAllen,Hidalgo County
Texas,Mesquite,"Dallas County, Kaufman County"
New York,Syracuse,Onondaga County
Texas,Midland,"Midland County, Martin County"
California,Pasadena,Los Angeles County
Tennessee,Murfreesboro,Rutherford County
Florida,Miramar,Broward County
Ohio,Dayton,Montgomery County
California,Fullerton,Orange County
Kansas,Olathe,Johnson County
California,Orange,Orange County
Colorado,Thornton,Adams County
California,Roseville,Placer County
Texas,Denton,Denton County
Texas,Waco,McLennan County
Arizona,Surprise,Maricopa County
Texas,Carrollton,"Denton County, Dallas County, Collin County"
Utah,West Valley City,Salt Lake County
South Carolina,Charleston,Charleston County
Michigan,Warren,Macomb County
Virginia,Hampton,Hampton city
Florida,Gainesville,Alachua County
