Coastal County,State,Region
Baldwin County,Alabama,Gulf of Mexico
Mobile County,Alabama,Gulf of Mexico
Aleutians East Borough,Alaska,Pacific
Aleutians West Census Area,Alaska,Pacific
Anchorage Municipality,Alaska,Pacific
Bethel Census Area,Alaska,Pacific
Bristol Bay Borough,Alaska,Pacific
Dillingham Census Area,Alaska,Pacific
Haines Borough,Alaska,Pacific
Hoonah-Angoon Census Area,Alaska,Pacific
Juneau City and Borough,Alaska,Pacific
Kenai Peninsula Borough,Alaska,Pacific
Ketchikan Gateway Borough,Alaska,Pacific
Kodiak Island Borough,Alaska,Pacific
Kusilvak Census Area,Alaska,Pacific
Lake and Peninsula Borough,Alaska,Pacific
Matanuska-Susitna Borough,Alaska,Pacific
Nome Census Area,Alaska,Pacific
North Slope Borough,Alaska,Pacific
Northwest Arctic Borough,Alaska,Pacific
Petersburg Borough,Alaska,Pacific
Prince of Wales-Hyder Census Area,Alaska,Pacific
Sitka City and Borough,Alaska,Pacific
Skagway Municipality,Alaska,Pacific
Valdez-Cordova Census Area,Alaska,Pacific
Wrangell City and Borough,Alaska,Pacific
Yakutat City and Borough,Alaska,Pacific
Alameda County,California,Pacific
Contra Costa County,California,Pacific
Del Norte County,California,Pacific
Humboldt County,California,Pacific
Los Angeles County,California,Pacific
Marin County,California,Pacific
Mendocino County,California,Pacific
Monterey County,California,Pacific
Orange County,California,Pacific
San Diego County,California,Pacific
San Francisco County,California,Pacific
San Luis Obispo County,California,Pacific
San Mateo County,California,Pacific
Santa Barbara County,California,Pacific
Santa Clara County,California,Pacific
Santa Cruz County,California,Pacific
Solano County,California,Pacific
Sonoma County,California,Pacific
Ventura County,California,Pacific
Fairfield County,Connecticut,Atlantic
Middlesex County,Connecticut,Atlantic
New Haven County,Connecticut,Atlantic
New London County,Connecticut,Atlantic
Kent County,Delaware,Atlantic
New Castle County,Delaware,Atlantic
Sussex County,Delaware,Atlantic
Bay County,Florida,Gulf of Mexico
Brevard County,Florida,Atlantic
Broward County,Florida,Atlantic
Charlotte County,Florida,Gulf of Mexico
Citrus County,Florida,Gulf of Mexico
Collier County,Florida,Gulf of Mexico
Dixie County,Florida,Gulf of Mexico
Duval County,Florida,Atlantic
Escambia County,Florida,Gulf of Mexico
Flagler County,Florida,Atlantic
Franklin County,Florida,Gulf of Mexico
Gulf County,Florida,Gulf of Mexico
Hernando County,Florida,Gulf of Mexico
Hillsborough County,Florida,Gulf of Mexico
Indian River County,Florida,Atlantic
Jefferson County,Florida,Gulf of Mexico
Lee County,Florida,Gulf of Mexico
Levy County,Florida,Gulf of Mexico
Manatee County,Florida,Gulf of Mexico
Martin County,Florida,Atlantic
Miami-Dade County,Florida,Atlantic
Monroe County,Florida,Gulf of Mexico
Nassau County,Florida,Atlantic
Okaloosa County,Florida,Gulf of Mexico
Palm Beach County,Florida,Atlantic
Pasco County,Florida,Gulf of Mexico
Pinellas County,Florida,Gulf of Mexico
St. Johns County,Florida,Atlantic
St. Lucie County,Florida,Atlantic
Santa Rosa County,Florida,Gulf of Mexico
Sarasota County,Florida,Gulf of Mexico
Taylor County,Florida,Gulf of Mexico
Volusia County,Florida,Atlantic
Wakulla County,Florida,Gulf of Mexico
Walton County,Florida,Gulf of Mexico
Bryan County,Georgia,Atlantic
Camden County,Georgia,Atlantic
Chatham County,Georgia,Atlantic
Glynn County,Georgia,Atlantic
Liberty County,Georgia,Atlantic
McIntosh County,Georgia,Atlantic
Hawaii County,Hawaii,Pacific
Honolulu County,Hawaii,Pacific
Kalawao County,Hawaii,Pacific
Kauai County,Hawaii,Pacific
Maui County,Hawaii,Pacific
Cameron Parish,Louisiana,Gulf of Mexico
Iberia Parish,Louisiana,Gulf of Mexico
Jefferson Parish,Louisiana,Gulf of Mexico
Lafourche Parish,Louisiana,Gulf of Mexico
Orleans Parish,Louisiana,Gulf of Mexico
Plaquemines Parish,Louisiana,Gulf of Mexico
St. Bernard Parish,Louisiana,Gulf of Mexico
St. Mary Parish,Louisiana,Gulf of Mexico
St. Tammany Parish,Louisiana,Gulf of Mexico
Terrebonne Parish,Louisiana,Gulf of Mexico
Vermilion Parish,Louisiana,Gulf of Mexico
Cumberland County,Maine,Atlantic
Hancock County,Maine,Atlantic
Knox County,Maine,Atlantic
Lincoln County,Maine,Atlantic
Sagadahoc County,Maine,Atlantic
Waldo County,Maine,Atlantic
Washington County,Maine,Atlantic
York County,Maine,Atlantic
Anne Arundel County,Maryland,Atlantic
Baltimore County,Maryland,Atlantic
Calvert County,Maryland,Atlantic
Cecil County,Maryland,Atlantic
Charles County,Maryland,Atlantic
Dorchester County,Maryland,Atlantic
Harford County,Maryland,Atlantic
Kent County,Maryland,Atlantic
Queen Anne's County,Maryland,Atlantic
St. Mary's County,Maryland,Atlantic
Somerset County,Maryland,Atlantic
Talbot County,Maryland,Atlantic
Wicomico County,Maryland,Atlantic
Worcester County,Maryland,Atlantic
Baltimore city,Maryland,Atlantic
Barnstable County,Massachusetts,Atlantic
Bristol County,Massachusetts,Atlantic
Dukes County,Massachusetts,Atlantic
Essex County,Massachusetts,Atlantic
Nantucket County,Massachusetts,Atlantic
Norfolk County,Massachusetts,Atlantic
Plymouth County,Massachusetts,Atlantic
Suffolk County,Massachusetts,Atlantic
Hancock County,Mississippi,Gulf of Mexico
Harrison County,Mississippi,Gulf of Mexico
Jackson County,Mississippi,Gulf of Mexico
Rockingham County,New Hampshire,Atlantic
Atlantic County,New Jersey,Atlantic
Cape May County,New Jersey,Atlantic
Cumberland County,New Jersey,Atlantic
Essex County,New Jersey,Atlantic
Hudson County,New Jersey,Atlantic
Middlesex County,New Jersey,Atlantic
Monmouth County,New Jersey,Atlantic
Ocean County,New Jersey,Atlantic
Salem County,New Jersey,Atlantic
Union County,New Jersey,Atlantic
Bronx County,New York,Atlantic
Kings County,New York,Atlantic
Nassau County,New York,Atlantic
New York County,New York,Atlantic
Queens County,New York,Atlantic
Richmond County,New York,Atlantic
Suffolk County,New York,Atlantic
Westchester County,New York,Atlantic
Beaufort County,North Carolina,Atlantic
Bertie County,North Carolina,Atlantic
Brunswick County,North Carolina,Atlantic
Camden County,North Carolina,Atlantic
Carteret County,North Carolina,Atlantic
Chowan County,North Carolina,Atlantic
Craven County,North Carolina,Atlantic
Currituck County,North Carolina,Atlantic
Dare County,North Carolina,Atlantic
Hyde County,North Carolina,Atlantic
New Hanover County,North Carolina,Atlantic
Onslow County,North Carolina,Atlantic
Pamlico County,North Carolina,Atlantic
Pasquotank County,North Carolina,Atlantic
Pender County,North Carolina,Atlantic
Perquimans County,North Carolina,Atlantic
Tyrrell County,North Carolina,Atlantic
Washington County,North Carolina,Atlantic
Clatsop County,Oregon,Pacific
Coos County,Oregon,Pacific
Curry County,Oregon,Pacific
Douglas County,Oregon,Pacific
Lane County,Oregon,Pacific
Lincoln County,Oregon,Pacific
Tillamook County,Oregon,Pacific
Bristol County,Rhode Island,Atlantic
Kent County,Rhode Island,Atlantic
Newport County,Rhode Island,Atlantic
Providence County,Rhode Island,Atlantic
Washington County,Rhode Island,Atlantic
Beaufort County,South Carolina,Atlantic
Charleston County,South Carolina,Atlantic
Colleton County,South Carolina,Atlantic
Georgetown County,South Carolina,Atlantic
Horry County,South Carolina,Atlantic
Jasper County,South Carolina,Atlantic
Aransas County,Texas,Gulf of Mexico
Brazoria County,Texas,Gulf of Mexico
Calhoun County,Texas,Gulf of Mexico
Cameron County,Texas,Gulf of Mexico
Chambers County,Texas,Gulf of Mexico
Galveston County,Texas,Gulf of Mexico
Harris County,Texas,Gulf of Mexico
Jackson County,Texas,Gulf of Mexico
Jefferson County,Texas,Gulf of Mexico
Kenedy County,Texas,Gulf of Mexico
Kleberg County,Texas,Gulf of Mexico
Matagorda County,Texas,Gulf of Mexico
Nueces County,Texas,Gulf of Mexico
Refugio County,Texas,Gulf of Mexico
San Patricio County,Texas,Gulf of Mexico
Victoria County,Texas,Gulf of Mexico
Willacy County,Texas,Gulf of Mexico
Accomack County,Virginia,Atlantic
Essex County,Virginia,Atlantic
Fairfax County,Virginia,Atlantic
Gloucester County,Virginia,Atlantic
Isle of Wight County,Virginia,Atlantic
James City County,Virginia,Atlantic
King George County,Virginia,Atlantic
Lancaster County,Virginia,Atlantic
Mathews County,Virginia,Atlantic
Middlesex County,Virginia,Atlantic
Northampton County,Virginia,Atlantic
Northumberland County,Virginia,Atlantic
Prince William County,Virginia,Atlantic
Richmond County,Virginia,Atlantic
Stafford County,Virginia,Atlantic
Surry County,Virginia,Atlantic
Westmoreland County,Virginia,Atlantic
York County,Virginia,Atlantic
Hampton city,Virginia,Atlantic
Newport News city,Virginia,Atlantic
Norfolk city,Virginia,Atlantic
Poquoson city,Virginia,Atlantic
