Coastal County,State,Region
St. Louis County,Minnesota,Great Lakes
Lake County,Minnesota,Great Lakes
Cook County,Minnesota,Great Lakes
Douglas County,Wisconsin,Great Lakes
Bayfield County,Wisconsin,Great Lakes
Ashland County,Wisconsin,Great Lakes
Marinette County,Wisconsin,Great Lakes
Oconto County,Wisconsin,Great Lakes
Brown County,Wisconsin,Great Lakes
Kewaunee County,Wisconsin,Great Lakes
Door County,Wisconsin,Great Lakes
Manitowoc County,Wisconsin,Great Lakes
Sheboygan County,Wisconsin,Great Lakes
Washington County,Wisconsin,Great Lakes
Ozaukee County,Wisconsin,Great Lakes
Milwaukee County,Wisconsin,Great Lakes
Racine County,Wisconsin,Great Lakes
Kenosha County,Wisconsin,Great Lakes
Iron County,Wisconsin,Great Lakes
Gogebic County,Michigan,Great Lakes
Ontonagon County,Michigan,Great Lakes
Houghton County,Michigan,Great Lakes
Keweenaw County,Michigan,Great Lakes
Baraga County,Michigan,Great Lakes
Marquette County,Michigan,Great Lakes
Alger County,Michigan,Great Lakes
Luce County,Michigan,Great Lakes
Chippewa County,Michigan,Great Lakes
Mackinac County,Michigan,Great Lakes
Schoolcraft County,Michigan,Great Lakes
Delta County,Michigan,Great Lakes
Menominee County,Michigan,Great Lakes
Berrien County,Michigan,Great Lakes
Van Buren County,Michigan,Great Lakes
Allegan County,Michigan,Great Lakes
Ottawa County,Michigan,Great Lakes
Muskegon County,Michigan,Great Lakes
Oceana County,Michigan,Great Lakes
Mason County,Michigan,Great Lakes
Manistee County,Michigan,Great Lakes
Benzie County,Michigan,Great Lakes
Leelanau County,Michigan,Great Lakes
Grand Traverse County,Michigan,Great Lakes
Antrim County,Michigan,Great Lakes
Charlevoix County,Michigan,Great Lakes
Emmet County,Michigan,Great Lakes
Cheboygan County,Michigan,Great Lakes
Presque Isle County,Michigan,Great Lakes
Alpena County,Michigan,Great Lakes
Alcona County,Michigan,Great Lakes
Iosco County,Michigan,Great Lakes
Arenac County,Michigan,Great Lakes
Bay County,Michigan,Great Lakes
Tuscola County,Michigan,Great Lakes
Huron County,Michigan,Great Lakes
Sanilac County,Michigan,Great Lakes
St. Clair County,Michigan,Great Lakes
Macomb County,Michigan,Great Lakes
Wayne County,Michigan,Great Lakes
Monroe County,Michigan,Great Lakes
Lake County,Illinois,Great Lakes
Cook County,Illinois,Great Lakes
Lake County,Indiana,Great Lakes
Porter County,Indiana,Great Lakes
LaPorte County,Indiana,Great Lakes
Lucas County,Ohio,Great Lakes
Ottawa County,Ohio,Great Lakes
Erie County,Ohio,Great Lakes
Lorain County,Ohio,Great Lakes
Cuyahoga County,Ohio,Great Lakes
Lake County,Ohio,Great Lakes
Ashtabula County,Ohio,Great Lakes
Erie County,Pennsylvania,Great Lakes
Chautauqua County,New York,Great Lakes
Erie County,New York,Great Lakes
Niagara County,New York,Great Lakes
Orleans County,New York,Great Lakes
Monroe County,New York,Great Lakes
Wayne County,New York,Great Lakes
Cayuga County,New York,Great Lakes
Oswego County,New York,Great Lakes
Jefferson County,New York,Great Lakes
St. Lawrence County,New York,Great Lakes
https://www.stats.indiana.edu/maptools/maps/boundary/great-lakes/GLC_consolidated.pdf,,
