"GEO_ID","NAME","B01001H_001E","B01001H_001M","B01001H_002E","B01001H_002M","B01001H_003E","B01001H_003M","B01001H_004E","B01001H_004M","B01001H_005E","B01001H_005M","B01001H_006E","B01001H_006M","B01001H_007E","B01001H_007M","B01001H_008E","B01001H_008M","B01001H_009E","B01001H_009M","B01001H_010E","B01001H_010M","B01001H_011E","B01001H_011M","B01001H_012E","B01001H_012M","B01001H_013E","B01001H_013M","B01001H_014E","B01001H_014M","B01001H_015E","B01001H_015M","B01001H_016E","B01001H_016M","B01001H_017E","B01001H_017M","B01001H_018E","B01001H_018M","B01001H_019E","B01001H_019M","B01001H_020E","B01001H_020M","B01001H_021E","B01001H_021M","B01001H_022E","B01001H_022M","B01001H_023E","B01001H_023M","B01001H_024E","B01001H_024M","B01001H_025E","B01001H_025M","B01001H_026E","B01001H_026M","B01001H_027E","B01001H_027M","B01001H_028E","B01001H_028M","B01001H_029E","B01001H_029M","B01001H_030E","B01001H_030M","B01001H_031E","B01001H_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"400C100US00970","Albany--Schenectady, NY Urbanized Area (2010)","438430","5897","210823","4130","8672","872","10108","1486","9722","1547","6325","624","6761","566","17242","972","15107","1298","14413","936","24009","1318","28200","1539","31791","1429","22971","1095","11316","1041","4186","789","227607","3170","8381","802","8878","1454","10450","1260","6570","736","7066","399","16888","1145","13746","942","13554","973","24878","1292","30699","1243","35634","1281","26549","1082","14703","1386","9611","1318"
"400C100US19234","Columbus, OH Urbanized Area (2010)","998570","6921","488540","3775","29604","957","28444","2488","26807","2332","16750","957","15004","420","30978","631","43122","967","40930","1266","68910","1413","63077","1267","61223","1165","40561","849","17324","1092","5806","893","510030","3807","28734","655","24910","2019","26977","2138","16450","742","12749","476","31663","648","42815","840","41276","1068","68400","1313","65039","1108","67475","1452","47556","974","24753","1544","11233","1270"
"400C100US22528","Dayton, OH Urbanized Area (2010)","538645","5733","261922","3603","14575","875","14194","1484","16253","1647","10041","946","7286","818","15585","1256","18473","772","16600","841","31990","1256","33275","1391","36756","1470","28423","1162","13705","1093","4766","817","276723","3908","12894","1367","13706","1503","15128","1406","9443","951","5911","676","15430","1118","17647","861","17016","806","32038","1047","36464","1505","39925","1399","31922","1153","19034","1307","10165","1496"
"400C100US23500","Denton--Lewisville, TX Urbanized Area (2010)","237879","8123","118076","4761","6130","1066","4931","1093","6904","1091","4742","781","3608","666","9466","1229","9249","1387","8906","1120","13861","1649","17452","1618","18750","1389","9209","1037","3820","704","1048","396","119803","4921","5238","1064","5343","1094","5369","1082","4574","801","3999","718","9269","1332","7731","1399","8457","1549","13903","1522","18169","1871","19443","1324","9756","1108","5495","998","3057","780"
"400C100US78310","Salinas, CA Urbanized Area (2010)","32624","3663","15862","1955","511","365","951","460","843","404","163","191","417","303","990","512","904","467","861","509","1528","651","1828","696","3041","764","2266","571","957","352","602","275","16762","2189","665","288","606","279","460","295","252","240","516","486","360","266","1027","451","977","344","1636","567","2626","607","2523","610","2699","717","1298","484","1117","553"
"400C100US78499","Salt Lake City--West Valley City, UT Urbanized Area (2010)","790928","3604","395398","1888","26198","577","25825","1657","29043","1730","16068","410","9483","91","25303","318","33326","672","31066","428","59977","599","46316","499","44619","443","30395","373","14081","745","3698","771","395530","2112","25114","637","25182","1741","26296","1762","15486","406","8542","160","24537","307","32895","465","29928","607","58205","531","44637","630","46418","478","34002","342","17337","1341","6951","1325"
"400C100US35380","Greenville, NC Urbanized Area (2010)","68485","3052","31183","2013","1832","350","1337","670","1557","528","1031","313","1800","424","6385","307","2357","605","1598","457","3229","559","3617","695","2572","524","2571","545","962","394","335","215","37302","1761","1934","232","1551","459","1070","371","1053","260","2943","109","6876","459","3365","418","1982","470","3893","511","3487","758","3942","626","2927","586","1650","565","629","407"
"400C100US89110","Tuscaloosa, AL Urbanized Area (2010)","82631","4804","40660","2315","1928","551","1797","835","1346","547","1422","298","3986","1031","5041","993","3845","647","2627","565","4455","833","3803","792","4585","616","3417","608","1896","440","512","342","41971","2838","1970","464","1101","514","2226","641","1272","310","5128","1114","4109","1039","2632","782","2263","646","4219","745","4269","683","5055","707","4192","568","2641","568","894","387"
"400C100US46801","Lake Jackson--Angleton, TX Urbanized Area (2010)","35916","4636","17744","2753","541","408","1371","970","257","254","1030","527","499","408","963","528","1671","785","1807","794","1760","798","1887","657","2991","797","1816","696","940","451","211","165","18172","2661","1433","544","1115","713","463","345","583","506","254","198","1276","571","1387","655","1116","577","2130","882","2162","660","2124","680","2336","526","833","383","960","565"
