State,City,County,Coastal,Region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
New York,New York,"New York County, Kings County, Bronx County, Richmond County, Queens County",TRUE,Atlantic,8175133,8174988,8190355,8272963,8348032,8398739,8437387,8468181,8475976,8438271,8398748
California,Los Angeles,Los Angeles County,TRUE,Pacific,3792621,3792820,3795370,3821136,3852532,3883916,3913260,3943215,3969262,3982002,3990456
Illinois,Chicago,Cook County,FALSE,N/A,2695598,2695624,2697529,2708209,2719735,2726772,2728524,2726215,2718946,2713067,2705994
Texas,Houston,Harris County,TRUE,Gulf of Mexico,2099451,2093615,2098446,2124143,2160086,2198280,2240982,2286630,2309752,2317445,2325502
Arizona,Phoenix,Maricopa County,FALSE,N/A,1445632,1446914,1449295,1470052,1499839,1527336,1556552,1584927,1613581,1634984,1660272
Pennsylvania,Philadelphia,Philidelphia County,FALSE,N/A,1526006,1526009,1528293,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138
Texas,San Antonio,Bexar County,FALSE,N/A,1327407,1326768,1332883,1357536,1383608,1408787,1435839,1464531,1488512,1511409,1532233
California,San Diego,San Diego County,TRUE,Pacific,1307402,1301949,1305970,1319697,1337149,1355951,1376725,1388674,1403865,1414427,1425976
Texas,Dallas,"Dallas County, Collin County, Denton County, Kaufman County, Rockwall County",FALSE,N/A,1197816,1197653,1200372,1218320,1242344,1259239,1279679,1301794,1324477,1343087,1345047
California,San Jose,Santa Clara County,TRUE,Pacific,945942,952060,954492,969948,983322,1001253,1014418,1026099,1030359,1032136,1030119
Texas,Austin,Travis County,FALSE,N/A,790390,802078,806423,828694,854841,875463,901734,921545,939768,951750,964254
Florida,Jacksonville,Duval County,TRUE,Atlantic,821784,821764,823123,829554,836997,842762,852560,865835,880495,891736,903889
Texas,Fort Worth,Tarrant County,FALSE,N/A,741206,744852,748481,764034,781059,796175,815135,835950,856902,875456,895008
Ohio,Columbus,Bartholomew County,FALSE,N/A,787033,789011,790935,800522,812711,827824,841740,855012,866918,881763,892533
California,San Francisco,San Francisco County,TRUE,Pacific,805235,805184,805550,815677,829027,839841,851116,863836,872795,879166,883305
North Carolina,Charlotte,Mecklenburg County,FALSE,N/A,731424,735692,738534,754840,773336,792183,807589,825733,842937,859347,872498
Indiana,Indianapolis,Marion County,FALSE,N/A,820445,820436,821555,827604,835379,844081,849634,853238,857488,861890,867125
Washington,Seattle,King County,TRUE,Pacific,608660,608666,610639,623050,636495,654224,670925,688156,710510,729601,744955
Colorado,Denver,Denver County,FALSE,N/A,600158,599815,603354,620513,635277,649513,664870,683665,696618,705439,716492
District of Columbia,Washington,N/A,FALSE,N/A,601723,601766,605085,619602,634725,650431,662513,675254,686575,695691,702455
Massachusetts,Boston,Suffolk County,TRUE,Atlantic,617594,617786,621074,630480,643003,653103,663017,670791,680470,688276,694583
Texas,El Paso,El Paso County,FALSE,N/A,649121,648254,650708,664521,675205,675222,677745,677253,681485,682938,682669
Michigan,Detroit,Wayne County,FALSE,N/A,713777,713885,711120,705043,700159,691883,682669,679305,676883,674188,672662
Tennessee,Nashville,Davidson County,FALSE,N/A,601222,603427,604587,612422,625601,636267,645820,656572,663339,665396,669053
Oregon,Portland,Multnomah County,FALSE,N/A,583776,583792,585436,595410,604285,609970,620647,631539,643136,648630,653115
Tennessee,Memphis,Shelby County,FALSE,N/A,646889,651885,652309,655590,659089,657877,655936,654876,653184,651562,650618
Oklahoma,Oklahoma City,"Oklahoma County, Canadian County, Cleveland County, Pottawatomie County",FALSE,N/A,579999,580247,582285,590824,601030,611999,621583,632193,640144,643337,649021
Nevada,Las Vegas,Clark County,FALSE,N/A,583756,584509,584606,586635,593411,599777,608275,617840,626950,635628,644644
Kentucky,Louisville,Jefferson County,FALSE,N/A,597337,595386,596155,599637,604110,610339,612509,615247,617462,619848,620118
Maryland,Baltimore,Baltimore County,TRUE,Atlantic,620961,620862,621005,620442,622973,622497,623165,622150,615849,609841,602495
Wisconsin,Milwaukee,Milwaukee County,FALSE,N/A,594833,594511,594881,597056,598581,599965,600743,600627,597123,593905,592025
New Mexico,Albuquerque,Bernalillo County,FALSE,N/A,545852,546191,546806,552095,555106,557619,557702,558325,559626,560111,560218
Arizona,Tucson,Pima County,FALSE,N/A,520116,526635,527167,530624,531817,532956,534870,535772,537831,541779,545975
California,Fresno,Fresno County,FALSE,N/A,494665,497102,497721,501413,505521,509104,514452,518670,521986,526037,530093
Arizona,Mesa,Maricopa County,FALSE,N/A,439041,440084,440995,447681,457061,464980,473390,482108,491041,500395,508958
California,Sacramento,Sacramento County,FALSE,N/A,466488,466390,467302,470914,474309,478360,483006,488353,494324,500944,508529
Georgia,Atlanta,Fulton County,FALSE,N/A,420003,426821,429193,437563,448799,453791,460998,468707,478916,491763,498044
Missouri,Kansas City,"Jackson County, Clay County, Platte County, Cass County",FALSE,N/A,459787,459937,460737,462356,464607,467243,470678,475069,481626,488266,491918
Colorado,Colorado Springs,El Paso County,FALSE,N/A,416427,417433,420544,427248,432611,437981,441960,449189,458531,465160,472688
Florida,Miami,Miami-Dade County,TRUE,Atlantic,399457,399530,400841,410673,415270,419829,429365,439404,454293,462030,470914
North Carolina,Raleigh,Wake County,FALSE,N/A,403892,404073,406355,413932,423095,431102,439347,449427,459194,465524,469298
Nebraska,Omaha,Douglas County,FALSE,N/A,408958,450238,450887,453217,456338,459091,461386,463472,465554,466774,468262
California,Long Beach,Los Angeles County,TRUE,Pacific,462257,462211,462440,464569,467064,468303,469539,470708,469435,467367,467354
Virginia,Virginia Beach,N/A,TRUE,Atlantic,437994,437903,438855,442536,445038,447732,448913,450474,451136,449962,450189
California,Oakland,Alameda County,TRUE,Pacific,390724,390792,391449,396135,401228,406844,413156,418263,420798,423869,429082
Minnesota,Minneapolis,Hennepin County,FALSE,N/A,382578,382603,383067,388022,392775,400108,407122,411150,415239,421072,425403
Oklahoma,Tulsa,"Osage County, Rogers County, Tulsa County, Wagoner County",FALSE,N/A,391906,392010,392421,393111,394875,398649,400162,403733,404182,402119,400669
Texas,Arlington,Tarrant County,FALSE,N/A,365438,365337,366136,370485,375906,379266,383074,389101,394780,397105,398112
Florida,Tampa,Hillsborough County,TRUE,Gulf of Mexico,335709,336154,337062,346778,348655,352426,358754,367413,376170,386577,392890
Louisiana,New Orleans,Orleans Parish,TRUE,Gulf of Mexico,343829,343828,347770,360686,369761,378623,383930,389791,391977,391538,391006
Kansas,Wichita,Sedgwick County,FALSE,N/A,382368,382423,382726,383729,385753,387240,388465,389437,390549,390307,389255
Ohio,Cleveland,Cuyahoga County,FALSE,N/A,396815,396629,395890,392594,391500,391759,390850,389248,387708,385428,383793
California,Bakersfield,Kern County,FALSE,N/A,347483,348255,349408,353640,357858,363449,367705,372295,375844,379171,383579
Colorado,Aurora,Arapahoe County,FALSE,N/A,325078,324675,326073,332627,339080,345276,352391,359679,362941,367255,374114
California,Anaheim,Orange County,TRUE,Pacific,336265,336443,337106,340202,342526,344369,345223,348967,350848,351301,352005
Hawaii,Honolulu,Honolulu County,TRUE,Pacific,337256,337721,339143,343040,346868,349275,349627,351684,351883,349651,347397
California,Santa Ana,Orange County,TRUE,Pacific,324528,324778,325340,328255,330650,333887,333669,333736,334175,333007,332725
California,Riverside,Riverside County,FALSE,N/A,303871,304033,305568,309556,312432,315667,317887,320673,323877,326988,330063
Texas,Corpus Christi,Nueces County,TRUE,Gulf of Mexico,305215,305226,305281,308096,312415,317101,320863,324795,325947,325373,326554
Kentucky,Lexington,Fayette County,FALSE,N/A,295803,295867,296847,301736,306075,310010,311955,316002,319738,322193,323780
California,Stockton,San Joaquin County,FALSE,N/A,291707,291731,292446,294922,296666,297172,300670,303926,306407,309316,311178
Nevada,Henderson,Clark County,FALSE,N/A,257729,257073,257532,258834,263409,268450,274474,282423,289784,299631,310390
Minnesota,St. Paul,Ramsey County,FALSE,N/A,285068,285067,285465,288812,291244,295045,297674,300010,303155,305255,307695
Missouri,St. Louis,N/A,FALSE,N/A,319294,319275,319318,319294,319387,318459,317395,315878,312389,307866,302838
Ohio,Cincinnati,Hamilton County,FALSE,N/A,296943,296893,296837,296020,296758,297775,298509,299338,299707,301648,302605
Pennsylvania,Pittsburgh,Allegheny County,FALSE,N/A,305704,305376,305410,306107,306470,307022,306092,304211,304814,301720,301048
North Carolina,Greensboro,Guilford County,FALSE,N/A,269666,268924,269587,272396,276024,279244,282275,284808,289597,292209,294722
Alaska,Anchorage,Anchorage Borough,TRUE,Pacific,291826,291829,293310,296154,298233,301155,299927,297613,297216,294264,291538
Texas,Plano,Collin County,FALSE,N/A,259841,259857,261222,266963,272240,274587,278062,283416,286576,286815,288061
Nebraska,Lincoln,Lancaster County,FALSE,N/A,258379,258602,259261,262466,265663,268937,273945,277178,281254,284506,287401
Florida,Orlando,Orange County,FALSE,N/A,238300,238813,239308,243585,249930,255156,262507,270622,278130,281143,285713
California,Irvine,Orange County,TRUE,Pacific,212375,212043,213392,220261,229083,236134,247283,255614,265721,276413,282572
